,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-12-11,235.518738,155.939178,130.568283,96.199547,117.540001,55.954071,21.774332
2018-12-12,236.704636,157.311676,131.815262,95.770668,117.790001,56.135986,21.690712
2018-12-13,236.624496,157.359344,129.949371,95.544128,117.529999,56.270779,21.690712
2018-12-14,232.255157,153.527832,127.983337,95.875862,117.059998,56.034920,21.774332
2018-12-17,227.698715,150.048950,125.133080,96.434219,117.870003,55.671051,21.715797
2018-12-18,227.449051,150.992554,124.977844,97.011734,118.150002,55.570198,21.707434
2018-12-19,224.042831,147.284988,122.375092,98.293358,117.430000,55.069206,21.715797
2018-12-20,220.395889,145.149933,120.356819,97.936440,119.239998,54.588493,21.548559
2018-12-21,215.880051,140.651230,117.233521,97.920235,118.720001,54.317677,21.690712
2018-12-24,210.175858,137.163361,114.959496,98.406898,120.019997,53.911469,21.594360
2018-12-26,220.794968,145.727722,120.484650,97.352432,119.660004,54.818684,21.704237
2018-12-27,222.490128,146.291672,120.986954,97.368645,120.570000,54.784851,21.611267
2018-12-28,222.203110,146.215195,121.333977,98.187897,121.059998,54.866100,21.552103
2018-12-31,224.149368,147.448242,122.283714,98.561012,121.250000,54.906708,21.509846
2019-01-02,224.382507,148.040848,122.977806,99.080162,121.330002,54.832260,21.670427
2019-01-03,219.028152,143.204315,120.776894,100.207611,122.430000,54.859314,21.552103
2019-01-04,226.364639,149.331192,125.288345,99.047722,121.440002,55.780041,21.518293
2019-01-07,228.149490,151.109100,127.480156,98.755684,121.860001,56.321712,21.425325
2019-01-08,230.292999,152.475967,129.434464,98.496147,121.529999,56.687290,21.492939
2019-01-09,231.369263,153.718582,130.502930,98.342003,122.309998,56.754978,21.290098
2019-01-10,232.185410,154.158264,131.178802,97.709320,121.589996,56.978413,21.416874
2019-01-11,232.275146,153.594284,131.215332,98.090546,121.800003,56.795624,21.433779
2019-01-14,230.858063,152.237015,129.909332,97.725533,122.089996,56.612812,21.433779
2019-01-15,233.503845,155.209656,131.005249,97.368645,121.879997,56.802410,21.509846
2019-01-16,234.068848,155.181000,131.982452,97.465973,122.269997,56.890366,21.535200
2019-01-17,235.844711,156.404449,133.178802,97.490326,122.110001,57.046097,21.535200
2019-01-18,238.983749,157.952957,134.548615,96.979309,121.019997,57.208599,21.602812
2019-01-22,235.755020,154.789108,132.420807,97.636299,121.449997,56.829430,21.602812
2019-01-23,236.248276,154.989868,132.055527,97.595795,121.279999,56.944569,21.552103
2019-01-24,236.373840,155.993454,132.850052,98.236572,121.089996,57.005482,21.678879
2019-01-25,238.373932,157.857391,134.557800,97.766090,122.860001,57.147678,21.501394
2019-01-28,236.562256,155.907455,133.836288,97.668762,123.290001,57.059662,21.518293
2019-01-29,236.248276,154.435425,133.516754,98.163528,123.980003,57.025784,21.526747
2019-01-30,239.988358,158.363922,134.977905,98.090546,124.690002,57.479366,21.416874
2019-01-31,242.095978,160.734451,136.128601,98.934143,124.750000,57.621578,21.459131
2019-02-01,242.212601,160.055740,136.238174,98.336617,124.500000,57.593674,21.459131
2019-02-04,243.916641,162.043930,137.863739,97.897591,123.959999,57.729717,21.518293
2019-02-05,244.939102,163.477707,138.009888,98.344727,124.279999,57.933765,21.577459
2019-02-06,244.616211,162.990219,137.836395,98.393494,123.440002,57.879330,21.661976
2019-02-07,242.284332,160.801346,136.703979,99.043938,123.739998,57.682110,21.712690
2019-02-08,242.580338,161.116821,136.850021,99.466644,124.209999,57.668522,21.738043
2019-02-11,242.714874,160.963837,137.991608,99.076385,123.599998,57.695717,21.822561
2019-02-12,245.836060,163.343903,139.717667,98.824356,123.860001,57.974556,21.746494
2019-02-13,246.634186,163.458572,140.110291,98.450401,123.370003,57.892952,21.864820
2019-02-14,246.087143,163.659302,140.429977,99.011330,124.059998,57.899757,21.839464
2019-02-15,248.768936,164.347504,142.667389,99.165787,124.800003,58.083382,21.797209
2019-02-19,249.199310,164.672501,143.060120,99.417854,126.699997,58.103806,21.712690
2019-02-20,249.701569,164.643845,143.735931,99.133316,126.480003,58.151405,21.729591
2019-02-21,248.813690,164.041656,143.188019,98.247192,125.050003,58.096977,21.746494
2019-02-22,250.356354,165.255600,144.429977,98.832504,125.500000,58.212593,21.738043
2019-02-25,250.697174,165.857742,144.466553,98.539864,125.370003,58.260239,21.721142
2019-02-26,250.517761,166.029785,143.471100,99.027611,125.580002,58.335037,21.636621
2019-02-27,250.410156,165.924637,143.672028,97.905724,124.690002,58.355419,21.653524
2019-02-28,249.943695,165.542313,143.178864,97.572395,123.989998,58.321449,21.670427
2019-03-01,251.504303,166.689331,144.512222,96.670532,121.879997,58.486740,21.754946
2019-03-04,250.589539,166.718048,143.206223,97.428238,121.559998,58.397953,21.780300
2019-03-05,250.248611,166.842270,142.539581,97.631889,121.720001,58.370632,21.839464
2019-03-06,248.732941,165.896011,139.745041,97.990349,121.610001,58.274956,21.839464
2019-03-07,246.652222,163.860016,138.521225,98.625778,121.510002,58.233986,22.033855
2019-03-08,246.158936,163.611526,138.484741,99.041260,122.839996,58.138325,21.966242
2019-03-11,249.728500,167.014252,140.904846,98.748039,122.239998,58.329636,21.915529
2019-03-12,250.670212,167.931915,140.977921,99.440491,122.980003,58.432095,21.873272
2019-03-13,252.329453,169.193634,141.535049,99.253136,123.839996,58.589241,21.771851
2019-03-14,252.167953,168.906921,140.959656,98.536156,122.410004,58.548233,21.839464
2019-03-15,253.413864,170.474503,141.334076,99.187950,122.970001,58.602921,21.805656
2019-03-18,254.332779,170.880508,142.238190,99.130890,123.040001,58.582409,21.780300
2019-03-19,254.395752,171.455063,141.516785,98.910942,123.379997,58.616547,21.754946
2019-03-20,253.630051,172.134888,140.337280,99.945602,124.180000,58.869358,21.628170
2019-03-21,256.494751,174.825745,142.177887,100.165550,123.680000,58.855663,21.763399
2019-03-22,251.558151,170.985794,137.004227,101.721596,123.970001,58.643871,21.805656
2019-03-25,251.368942,170.660217,137.608597,101.884537,124.919998,58.623394,21.805656
2019-03-26,253.242767,171.455063,139.055374,101.811218,124.300003,58.766865,21.873272
2019-03-27,251.918442,170.353821,138.515137,102.748108,123.650002,58.807827,21.898628
2019-03-28,252.873322,170.746429,139.751312,103.106590,121.900002,58.924004,21.974693
2019-03-29,254.467865,172.039124,140.181656,103.008835,122.010002,59.074291,22.000050
2019-04-01,257.485565,174.318207,141.710876,101.545677,121.529999,59.059868,21.983145
2019-04-02,257.611755,174.978912,141.344559,101.733490,121.980003,59.087330,22.008501
2019-04-03,258.017151,175.984344,142.077164,100.851639,121.800003,59.107895,21.974693
2019-04-04,258.701752,175.917343,142.773026,101.137459,122.110001,59.197105,22.000050
2019-04-05,259.953918,176.827057,144.109940,101.268082,121.980003,59.306934,22.025402
2019-04-08,260.152161,177.277100,143.871872,100.908813,122.510002,59.272598,21.949335
2019-04-09,258.818848,176.654709,142.113754,101.227280,123.150002,59.231449,21.957788
2019-04-10,259.701782,177.602692,144.045822,101.472191,123.529999,59.492180,21.923981
2019-04-11,259.629578,177.181351,143.862717,100.876167,121.949997,59.581367,21.991594
2019-04-12,261.386292,177.947464,144.384674,100.157646,121.830002,59.670582,21.940884
2019-04-15,261.215027,177.976151,143.917618,100.410767,121.599998,59.629433,21.932436
2019-04-16,261.386292,178.589050,144.256439,99.782074,120.510002,59.595100,21.983145
2019-04-17,260.746704,179.211487,142.937866,99.822922,120.279999,59.451019,21.966242
2019-04-18,261.260132,179.441238,142.516647,100.345474,120.370003,59.478451,22.084566
2019-04-22,261.485413,179.948776,142.141220,99.863724,120.370003,59.375549,22.033855
2019-04-23,263.836456,182.237396,144.283936,100.076019,120.120003,59.581367,22.109922
2019-04-24,263.251007,181.662827,144.732635,100.892502,120.470001,59.499058,22.219797
