,SPY,QQQ,IWM,TLT,GLD,HYG,UUP
2018-12-11,235.518768,155.939194,130.568298,96.199593,117.540001,55.954063,21.774332
2018-12-12,236.704727,157.311722,131.815247,95.770622,117.790001,56.135998,21.690714
2018-12-13,236.624405,157.359360,129.949387,95.544083,117.529999,56.270779,21.690714
2018-12-14,232.255188,153.527832,127.983391,95.875839,117.059998,56.034916,21.774332
2018-12-17,227.698730,150.048965,125.133049,96.434219,117.870003,55.671085,21.715799
2018-12-18,227.449036,150.992554,124.977867,97.011765,118.150002,55.570187,21.707432
2018-12-19,224.042816,147.284927,122.375069,98.293358,117.430000,55.069187,21.715799
2018-12-20,220.395859,145.149963,120.356796,97.936447,119.239998,54.588516,21.548561
2018-12-21,215.880066,140.651245,117.233482,97.920219,118.720001,54.317665,21.690714
2018-12-24,210.175888,137.163330,114.959511,98.406906,120.019997,53.911484,21.594362
2018-12-26,220.794998,145.727737,120.484665,97.352455,119.660004,54.818714,21.704235
2018-12-27,222.490097,146.291672,120.986923,97.368660,120.570000,54.784843,21.611265
2018-12-28,222.203110,146.215164,121.334007,98.187920,121.059998,54.866093,21.552107
2018-12-31,224.149323,147.448181,122.283752,98.561035,121.250000,54.906700,21.509844
2019-01-02,224.382523,148.040863,122.977867,99.080139,121.330002,54.832245,21.670427
2019-01-03,219.028168,143.204315,120.776924,100.207649,122.430000,54.859322,21.552107
2019-01-04,226.364655,149.331284,125.288345,99.047668,121.440002,55.780048,21.518295
2019-01-07,228.149475,151.109146,127.480095,98.755676,121.860001,56.321705,21.425329
2019-01-08,230.292969,152.475937,129.434494,98.496101,121.529999,56.687302,21.492941
2019-01-09,231.369263,153.718552,130.502991,98.341972,122.309998,56.754974,21.290098
2019-01-10,232.185425,154.158218,131.178787,97.709320,121.589996,56.978382,21.416872
2019-01-11,232.275085,153.594299,131.215332,98.090569,121.800003,56.795586,21.433779
2019-01-14,230.858032,152.237000,129.909363,97.725578,122.089996,56.612785,21.433779
2019-01-15,233.503830,155.209717,131.005249,97.368660,121.879997,56.802395,21.509844
2019-01-16,234.068878,155.180984,131.982483,97.465958,122.269997,56.890381,21.535198
2019-01-17,235.844727,156.404480,133.178818,97.490364,122.110001,57.046093,21.535198
2019-01-18,238.983856,157.952927,134.548660,96.979324,121.019997,57.208611,21.602816
2019-01-22,235.755020,154.789124,132.420792,97.636307,121.449997,56.829449,21.602816
2019-01-23,236.248337,154.989822,132.055527,97.595779,121.279999,56.944565,21.552107
2019-01-24,236.373856,155.993469,132.849991,98.236565,121.089996,57.005486,21.678879
2019-01-25,238.373962,157.857300,134.557785,97.766121,122.860001,57.147659,21.501392
2019-01-28,236.562225,155.907455,133.836319,97.668732,123.290001,57.059612,21.518295
2019-01-29,236.248337,154.435410,133.516739,98.163506,123.980003,57.025791,21.526749
2019-01-30,239.988358,158.363937,134.977905,98.090569,124.690002,57.479416,21.416872
2019-01-31,242.096039,160.734451,136.128571,98.934113,124.750000,57.621544,21.459131
2019-02-01,242.212616,160.055786,136.238190,98.336601,124.500000,57.593697,21.459131
2019-02-04,243.916626,162.043915,137.863770,97.897575,123.959999,57.729721,21.518295
2019-02-05,244.939194,163.477707,138.009872,98.344749,124.279999,57.933754,21.577459
2019-02-06,244.616196,162.990234,137.836349,98.393494,123.440002,57.879364,21.661976
2019-02-07,242.284302,160.801346,136.703934,99.043938,123.739998,57.682095,21.712687
2019-02-08,242.580338,161.116791,136.850082,99.466675,124.209999,57.668522,21.738041
